sequence,time (ms)
turbokube-02a6,8029
turbokube-02a7,7303
turbokube-02a9,6900
turbokube-02a8,7069
turbokube-02aa,7961
turbokube-02ab,7457
turbokube-02ac,7399
turbokube-02ad,7206
turbokube-02ae,7783
turbokube-02af,7387
turbokube-02b0,8001
turbokube-02b1,7567
turbokube-02b2,7188
turbokube-02b3,7403
turbokube-02b4,7648
turbokube-02b5,7547
turbokube-02b6,7783
turbokube-02b7,7145
turbokube-02b8,7477
turbokube-02b9,7332
turbokube-02ba,7332
turbokube-02bb,7518
turbokube-02bc,7541
turbokube-02bd,8477
turbokube-02be,7000
turbokube-02bf,7218
turbokube-02c0,11878
turbokube-02c2,10441
turbokube-02c1,13376
turbokube-02c3,11464
turbokube-02c4,7971
turbokube-02c5,7668
turbokube-02c6,7828
turbokube-02c7,7968
turbokube-02c8,7850
turbokube-02c9,7130
turbokube-02ca,7699
turbokube-02cb,7435
turbokube-02cc,7683
turbokube-02cd,7282
turbokube-02ce,7570
turbokube-02cf,7862
turbokube-02d0,7854
turbokube-02d1,7287
turbokube-02d2,7477
turbokube-02d3,7302
turbokube-02d4,7972
turbokube-02d5,7274
turbokube-02d6,8655
turbokube-02d7,7282
turbokube-02d8,7694
turbokube-02d9,7643
turbokube-02da,7745
turbokube-02db,7470
turbokube-02dc,8036
turbokube-02dd,7422
turbokube-02de,7447
turbokube-02df,7248
turbokube-02e0,7969
turbokube-02e1,7867
turbokube-02e2,8093
turbokube-02e3,7315
turbokube-02e4,7837
turbokube-02e5,7137
turbokube-02e6,7607
turbokube-02e7,7623
turbokube-02e8,7758
turbokube-02e9,7336
turbokube-02ea,7460
turbokube-02eb,8032
turbokube-02ec,7798
turbokube-02ed,7391
turbokube-02ee,9394
turbokube-02ef,7765
turbokube-02f0,8165
turbokube-02f1,7117
turbokube-02f2,7961
turbokube-02f3,7494
turbokube-02f4,8023
turbokube-02f5,7932
turbokube-02f6,7931
turbokube-02f7,7552
turbokube-02f8,8054
turbokube-02f9,7140
turbokube-02fa,7619
turbokube-02fb,7603
turbokube-02fc,8174
turbokube-02fd,7194
turbokube-02fe,7684
turbokube-02ff,7539
turbokube-0300,8431
turbokube-0301,7334
turbokube-0302,8711
turbokube-0303,7447
turbokube-0304,7871
turbokube-0305,7533
turbokube-0306,8034
turbokube-0307,7271
turbokube-0308,8402
turbokube-0309,8394
turbokube-030a,8036
turbokube-030b,7668
turbokube-030c,8237
turbokube-030e,8547
turbokube-030d,10570
turbokube-030f,7708
turbokube-0310,7808
turbokube-0311,8839
turbokube-0312,7896
turbokube-0313,7414
turbokube-0314,7643
turbokube-0315,9685
turbokube-0316,8408
turbokube-0318,7779
turbokube-0317,7963
turbokube-0319,8454
turbokube-031a,9379
turbokube-031b,8526
turbokube-031c,7962
turbokube-031d,8736
turbokube-031e,7434
turbokube-0320,7019
turbokube-031f,8126
turbokube-0321,8435
turbokube-0322,7910
turbokube-0323,8100
turbokube-0324,7859
turbokube-0325,8232
turbokube-0326,8279
turbokube-0327,8569
turbokube-0328,8743
turbokube-0329,8060
turbokube-032a,8557
turbokube-032b,8406
turbokube-032c,8171
turbokube-032d,8961
turbokube-032e,7777
turbokube-032f,7532
turbokube-0330,8600
turbokube-0331,8154
turbokube-0332,7428
turbokube-0333,7976
turbokube-0334,8568
turbokube-0335,8941
turbokube-0336,7539
turbokube-0337,7465
turbokube-0338,8062
turbokube-0339,8318
turbokube-033a,7477
turbokube-033b,8597
turbokube-033c,7930
turbokube-033d,8471
turbokube-033e,7641
turbokube-033f,7902
turbokube-0340,7965
turbokube-0341,8901
turbokube-0342,7763
turbokube-0343,7751
turbokube-0344,8609
turbokube-0345,8701
turbokube-0346,7474
turbokube-0347,8272
turbokube-0348,8238
turbokube-0349,8539
turbokube-034a,7578
turbokube-034b,7642
turbokube-034c,7948
turbokube-034d,16056
turbokube-034e,13735
turbokube-034f,14835
turbokube-0350,15077
turbokube-0351,9848
turbokube-0352,8232
turbokube-0353,8259
turbokube-0354,7514
turbokube-0355,9178
turbokube-0356,8027
turbokube-0357,7730
turbokube-0358,7951
turbokube-0359,9122
turbokube-035a,8112
turbokube-035b,7727
turbokube-035c,7911
turbokube-035d,8567
turbokube-035e,9642
turbokube-035f,9135
turbokube-0360,8443
turbokube-0361,8385
turbokube-0362,7664
turbokube-0363,8148
turbokube-0364,9379
turbokube-0365,7833
turbokube-0366,8498
turbokube-0367,8823
turbokube-0368,8385
turbokube-0369,7816
turbokube-036a,7929
turbokube-036b,10532
turbokube-036c,10664
turbokube-036e,7730
turbokube-036d,8757
turbokube-036f,7956
turbokube-0370,8280
turbokube-0371,7139
turbokube-0372,7834
turbokube-0373,8702
turbokube-0374,8897
turbokube-0375,7883
turbokube-0376,8260
turbokube-0377,7943
turbokube-0378,9191
turbokube-0379,7988
turbokube-037a,8709
turbokube-037b,8112
turbokube-037c,9320
turbokube-037d,7872
turbokube-037e,8693
turbokube-037f,7740
turbokube-0380,8858
turbokube-0381,8357
turbokube-0382,8473
turbokube-0383,7590
turbokube-0384,9564
turbokube-0385,8003
turbokube-0386,8432
turbokube-0387,7701
turbokube-0388,9529
turbokube-0389,8850
turbokube-038a,9166
turbokube-038b,8154
turbokube-038c,9713
turbokube-038d,8675
turbokube-038e,9136
turbokube-038f,8517
turbokube-0390,9484
turbokube-0391,8406
turbokube-0392,8635
turbokube-0393,8380
turbokube-0394,9895
turbokube-0395,8375
turbokube-0396,9285
turbokube-0397,8279
turbokube-0398,8943
turbokube-0399,7910
turbokube-039b,7478
turbokube-039a,9765
turbokube-039c,9716
turbokube-039d,8484
turbokube-039e,8329
turbokube-039f,10181
turbokube-03a0,9535
turbokube-03a1,8581
turbokube-03a2,8838
turbokube-03a3,8923
turbokube-03a4,9517
turbokube-03a5,7995
turbokube-03a6,8111
turbokube-03a7,10148
turbokube-03a8,10032
turbokube-03a9,9097
turbokube-03aa,8258
turbokube-03ab,10363
turbokube-03ac,9311
turbokube-03ad,7945
turbokube-03ae,7554
turbokube-03af,9830
turbokube-03b0,9765
turbokube-03b1,8520
turbokube-03b2,8416
turbokube-03b3,9555
turbokube-03b4,10016
turbokube-03b5,8937
turbokube-03b6,8312
turbokube-03b7,9770
turbokube-03b8,10402
turbokube-03b9,9185
turbokube-03ba,7813
turbokube-03bb,9269
turbokube-03bc,10222
turbokube-03bd,8604
turbokube-03be,8138
turbokube-03bf,9572
turbokube-03c0,10298
turbokube-03c1,9048
turbokube-03c2,8434
turbokube-03c3,9205
turbokube-03c4,10144
turbokube-03c5,8780
turbokube-03c6,8144
turbokube-03c7,8211
turbokube-03ca,15886
turbokube-03c9,17470
turbokube-03c8,20419
turbokube-03cb,16609
turbokube-03cc,10100
turbokube-03cd,8958
turbokube-03cf,9412
turbokube-03ce,10617
turbokube-03d0,10561
turbokube-03d1,8790
turbokube-03d2,8743
turbokube-03d3,10023
turbokube-03d4,12404
turbokube-03d5,10194
turbokube-03d6,9627
turbokube-03d7,8476
turbokube-03d8,9722
turbokube-03d9,8755
turbokube-03da,9436
turbokube-03db,9591
turbokube-03dc,8584
turbokube-03dd,8365
turbokube-03de,9309
turbokube-03df,8858
turbokube-03e1,8276
turbokube-03e0,10472
turbokube-03e2,10173
turbokube-03e4,7967
turbokube-03e3,11009
turbokube-03e5,8498
turbokube-03e6,9864
turbokube-03e7,8982
turbokube-03e8,10287
turbokube-03e9,8721
turbokube-03ea,10476
turbokube-03eb,8713
turbokube-03ec,10476
turbokube-03ed,7758
turbokube-03ee,11291
turbokube-03ef,8755
turbokube-03f0,10734
turbokube-03f1,8275
turbokube-03f2,10034
turbokube-03f3,8271
turbokube-03f4,9925
turbokube-03f5,8805
turbokube-03f6,13141
turbokube-03f7,11018
turbokube-03f8,10567
turbokube-03f9,8927
turbokube-03fa,12381
turbokube-03fb,9914
turbokube-03fc,10027
turbokube-03fd,9109
turbokube-03fe,8356
turbokube-03ff,7208
