sequence,time (ms)
turbokube-0000,6577
turbokube-0001,6563
turbokube-0003,6406
turbokube-0002,6713
turbokube-0004,6125
turbokube-0005,6089
turbokube-0006,6297
turbokube-0007,7809
turbokube-0008,6073
turbokube-0009,6074
turbokube-000a,6465
turbokube-000b,6491
turbokube-000c,6395
turbokube-000d,6070
turbokube-000e,6313
turbokube-000f,6549
turbokube-0010,6535
turbokube-0011,6316
turbokube-0012,6138
turbokube-0013,6181
turbokube-0015,6432
turbokube-0014,8316
turbokube-0016,6217
turbokube-0017,6247
turbokube-0018,6071
turbokube-0019,6477
turbokube-001a,6480
turbokube-001b,6347
turbokube-001c,6270
turbokube-001d,6202
turbokube-001e,6356
turbokube-001f,6472
turbokube-0020,6106
turbokube-0021,6001
turbokube-0022,6205
turbokube-0023,7560
turbokube-0024,6571
turbokube-0025,6351
turbokube-0026,6350
turbokube-0027,6098
turbokube-0028,6343
turbokube-0029,6569
turbokube-002a,6268
turbokube-002b,6078
turbokube-002c,6153
turbokube-002d,6358
turbokube-002e,6360
turbokube-002f,6083
turbokube-0030,6092
turbokube-0031,6128
turbokube-0032,6579
turbokube-0033,6604
turbokube-0034,6106
turbokube-0035,6266
turbokube-0036,6190
turbokube-0037,6343
turbokube-0038,6627
turbokube-0039,6095
turbokube-003a,6238
turbokube-003b,6084
turbokube-003c,6491
turbokube-003d,6450
turbokube-003e,6148
turbokube-003f,6195
turbokube-0040,6196
turbokube-0041,6616
turbokube-0042,6453
turbokube-0043,6190
turbokube-0044,6293
turbokube-0045,6387
turbokube-0046,6582
turbokube-0047,6454
turbokube-0048,6086
turbokube-0049,6428
turbokube-004a,6618
turbokube-004b,6654
turbokube-004c,6652
turbokube-004d,6080
turbokube-004e,6420
turbokube-004f,6466
turbokube-0050,6614
turbokube-0051,6567
turbokube-0052,6231
turbokube-0053,6450
turbokube-0054,6297
turbokube-0055,6590
turbokube-0056,6443
turbokube-0057,6389
turbokube-0058,6328
turbokube-0059,6515
turbokube-005a,6541
turbokube-005b,6506
turbokube-005c,6518
turbokube-005d,6400
turbokube-005e,6707
turbokube-005f,6676
