sequence,time (ms)
turbokube-011c,11416
turbokube-011b,13999
turbokube-011d,13841
turbokube-011e,9133
turbokube-011f,13535
turbokube-0121,11002
turbokube-0122,8280
turbokube-0123,13515
turbokube-0124,13152
turbokube-0126,13569
turbokube-0127,8321
turbokube-011a,24814
turbokube-0129,8266
turbokube-012a,10916
turbokube-012b,55260
turbokube-012c,6769
turbokube-012d,9281
turbokube-012e,9134
turbokube-012f,13498
turbokube-0130,9271
turbokube-0131,51079
turbokube-0132,67299
turbokube-0133,7922
turbokube-0134,9500
