sequence,time (ms)
turbokube-0000,6448
turbokube-0001,6591
turbokube-0002,6737
turbokube-0003,6745
turbokube-0004,6050
turbokube-0005,6536
turbokube-0006,6665
turbokube-0007,6147
turbokube-0008,6064
turbokube-0009,6281
turbokube-000a,6455
turbokube-000b,6588
turbokube-000c,6101
turbokube-000d,6250
turbokube-000e,6544
turbokube-000f,6271
turbokube-0010,6391
turbokube-0011,6055
turbokube-0012,6303
turbokube-0013,6340
turbokube-0014,6395
turbokube-0015,6558
turbokube-0016,6055
turbokube-0017,6370
turbokube-0018,6068
turbokube-0019,6412
turbokube-001a,6583
turbokube-001b,6294
turbokube-001c,6391
turbokube-001d,6268
turbokube-001e,6473
turbokube-001f,6654
turbokube-0020,6445
turbokube-0021,6399
turbokube-0022,6379
turbokube-0023,6637
turbokube-0024,6536
turbokube-0025,6400
turbokube-0026,6482
turbokube-0027,6471
turbokube-0028,6717
turbokube-0029,6605
turbokube-002a,6463
turbokube-002b,6532
turbokube-002c,6478
turbokube-002d,6560
turbokube-002e,6566
turbokube-002f,6392
turbokube-0030,6542
turbokube-0031,6447
turbokube-0032,6662
turbokube-0033,6513
turbokube-0034,6443
turbokube-0035,6529
turbokube-0036,6561
turbokube-0037,6624
turbokube-0038,6652
turbokube-0039,6439
turbokube-003a,6495
turbokube-003b,6439
turbokube-003c,6551
turbokube-003d,6567
turbokube-003e,6496
turbokube-003f,6669
turbokube-0040,6549
turbokube-0041,6614
turbokube-0042,6575
turbokube-0043,6465
turbokube-0044,6711
turbokube-0045,6649
turbokube-0046,6609
turbokube-0047,6735
turbokube-0048,6565
turbokube-0049,6487
turbokube-004a,6276
turbokube-004b,6463
turbokube-004c,6661
turbokube-004d,6614
turbokube-004e,6285
turbokube-004f,6287
turbokube-0050,6603
turbokube-0051,6618
turbokube-0052,6703
turbokube-0053,6318
turbokube-0054,6310
turbokube-0055,6559
turbokube-0056,6737
turbokube-0057,6728
turbokube-0058,8084
turbokube-0059,6540
turbokube-005a,6542
turbokube-005b,6758
turbokube-005c,6338
turbokube-005d,6851
turbokube-005e,6490
turbokube-005f,6724
turbokube-0060,6472
turbokube-0061,6441
turbokube-0062,6789
turbokube-0063,6550
turbokube-0064,6686
turbokube-0065,6603
turbokube-0066,6630
turbokube-0067,6786
turbokube-0068,6734
turbokube-0069,6840
turbokube-006a,6604
turbokube-006b,6566
turbokube-006c,6751
turbokube-006d,6603
turbokube-006e,6726
turbokube-006f,6561
turbokube-0070,6754
turbokube-0071,6733
turbokube-0072,6662
turbokube-0073,6752
turbokube-0074,6896
turbokube-0075,6729
turbokube-0076,6972
turbokube-0077,6625
turbokube-0078,6739
turbokube-0079,6999
turbokube-007a,6679
