sequence,time (ms)
turbokube-0000,6749
turbokube-0002,6539
turbokube-0003,6327
turbokube-0001,6796
turbokube-0004,5859
turbokube-0005,6551
turbokube-0006,6326
turbokube-0007,6554
turbokube-0008,6118
turbokube-0009,6091
turbokube-000a,6419
turbokube-000b,6529
turbokube-000c,6526
turbokube-000d,6077
turbokube-000e,6331
turbokube-000f,6454
turbokube-0010,6501
turbokube-0011,6459
turbokube-0012,7479
turbokube-0013,6345
turbokube-0014,6403
turbokube-0015,6423
turbokube-0016,6078
turbokube-0017,6505
turbokube-0018,6471
turbokube-0019,6527
turbokube-001a,6425
turbokube-001b,6190
turbokube-001c,6558
turbokube-001d,6551
turbokube-001e,6552
turbokube-001f,6429
turbokube-0020,7852
turbokube-0021,6568
turbokube-0022,6580
turbokube-0023,7604
turbokube-0024,6075
turbokube-0025,6601
turbokube-0026,6422
turbokube-0027,6116
turbokube-0028,6431
turbokube-0029,6280
turbokube-002a,6458
turbokube-002b,6507
turbokube-002c,6389
turbokube-002d,6259
turbokube-002e,6371
turbokube-002f,6567
turbokube-0030,6664
turbokube-0031,6395
turbokube-0032,6217
turbokube-0033,6422
turbokube-0034,6546
turbokube-0035,6584
turbokube-0036,6408
turbokube-0037,6274
turbokube-0038,6591
turbokube-0039,6572
turbokube-003a,6562
turbokube-003b,6529
turbokube-003c,6276
turbokube-003d,6483
turbokube-003e,6474
turbokube-003f,6629
turbokube-0040,6650
turbokube-0041,6533
turbokube-0042,6488
turbokube-0043,6650
turbokube-0044,6620
turbokube-0045,6542
turbokube-0046,6547
turbokube-0047,6689
turbokube-0048,6526
turbokube-0049,6558
turbokube-004a,6513
turbokube-004b,6530
turbokube-004c,6586
turbokube-004d,6568
turbokube-004e,6685
turbokube-004f,6524
turbokube-0050,6557
turbokube-0051,6659
turbokube-0052,6699
turbokube-0053,6625
turbokube-0054,6457
turbokube-0055,6496
turbokube-0056,6421
turbokube-0057,6723
turbokube-0058,6429
turbokube-0059,6652
turbokube-005a,6509
turbokube-005b,6563
turbokube-005c,6657
turbokube-005d,6612
turbokube-005e,6603
turbokube-005f,6650
turbokube-0060,6410
turbokube-0061,6648
turbokube-0062,6738
turbokube-0063,6392
turbokube-0064,6563
turbokube-0065,6547
turbokube-0066,6672
turbokube-0067,6607
turbokube-0068,6607
turbokube-0069,6670
turbokube-006a,6518
turbokube-006b,6871
turbokube-006c,6522
turbokube-006d,6622
turbokube-006e,6566
turbokube-006f,6586
turbokube-0070,6651
turbokube-0071,6582
turbokube-0072,6682
turbokube-0073,6567
turbokube-0074,6442
turbokube-0075,6857
turbokube-0076,6655
turbokube-0077,6724
turbokube-0078,6511
turbokube-0079,6370
turbokube-007a,6734
turbokube-007b,6764
turbokube-007c,6627
turbokube-007d,6538
turbokube-007e,6485
turbokube-007f,6990
turbokube-0080,6906
turbokube-0081,6663
turbokube-0082,6561
turbokube-0083,6470
turbokube-0084,6656
turbokube-0085,6774
turbokube-0086,6911
turbokube-0087,6534
turbokube-0088,6536
turbokube-0089,6997
turbokube-008a,6713
turbokube-008b,6653
turbokube-008c,6557
turbokube-008d,6656
turbokube-008e,6683
turbokube-008f,6827
turbokube-0090,6669
turbokube-0091,6644
turbokube-0092,6713
turbokube-0093,6672
turbokube-0094,6868
turbokube-0095,6683
turbokube-0096,6699
turbokube-0097,6713
turbokube-0098,6854
turbokube-0099,6700
turbokube-009a,7055
turbokube-009b,6756
turbokube-009c,6612
turbokube-009d,6827
turbokube-009e,6780
turbokube-009f,6954
turbokube-00a0,6732
turbokube-00a1,6753
turbokube-00a2,6640
turbokube-00a3,6919
turbokube-00a4,6961
turbokube-00a5,6816
turbokube-00a6,6717
turbokube-00a7,6688
turbokube-00a8,6767
turbokube-00a9,6675
turbokube-00aa,6779
turbokube-00ab,6828
turbokube-00ac,6482
turbokube-00ad,6700
turbokube-00ae,6752
turbokube-00af,6916
turbokube-00b0,6741
turbokube-00b1,6582
turbokube-00b2,6870
turbokube-00b3,6800
turbokube-00b4,6785
turbokube-00b5,6863
turbokube-00b6,6544
turbokube-00b7,6837
turbokube-00b8,6590
turbokube-00b9,6761
turbokube-00ba,6810
turbokube-00bb,6604
turbokube-00bc,6853
turbokube-00bd,6907
turbokube-00be,6963
turbokube-00bf,6799
turbokube-00c0,6601
turbokube-00c1,6902
turbokube-00c2,6873
turbokube-00c3,6870
turbokube-00c4,6735
turbokube-00c5,6565
turbokube-00c6,6728
turbokube-00c7,6885
turbokube-00c8,6815
turbokube-00c9,6946
turbokube-00ca,6546
turbokube-00cb,6829
turbokube-00cc,6719
turbokube-00cd,6950
turbokube-00ce,6749
turbokube-00cf,6705
turbokube-00d0,7050
turbokube-00d1,6933
turbokube-00d2,6893
turbokube-00d3,6861
turbokube-00d4,6779
turbokube-00d5,6962
turbokube-00d6,6798
turbokube-00d7,6896
turbokube-00d8,6636
turbokube-00d9,6628
turbokube-00da,6891
turbokube-00db,6979
turbokube-00dc,6854
turbokube-00dd,6829
turbokube-00de,6510
turbokube-00df,7146
turbokube-00e0,6850
turbokube-00e1,7019
turbokube-00e2,7138
turbokube-00e3,6789
turbokube-00e4,6880
turbokube-00e5,6980
turbokube-00e6,6784
turbokube-00e7,7056
