sequence,time (ms)
turbokube-0273,18668
turbokube-0275,16150
turbokube-0276,12394
turbokube-0277,13515
turbokube-027a,14097
turbokube-0278,15331
turbokube-0279,15629
turbokube-027b,13743
turbokube-027c,14276
turbokube-027d,15395
turbokube-027e,15293
turbokube-027f,13697
turbokube-0280,14200
turbokube-0281,15620
turbokube-0282,15877
turbokube-0283,14382
turbokube-0284,14410
turbokube-0285,15103
turbokube-0286,16426
turbokube-0287,15676
turbokube-0288,13641
turbokube-0289,15500
turbokube-028a,15585
turbokube-028b,16630
turbokube-028c,16656
turbokube-028d,16238
turbokube-028e,15106
turbokube-028f,15275
turbokube-0290,15937
turbokube-0291,17175
turbokube-0292,15649
turbokube-0293,15519
turbokube-0294,16373
turbokube-0295,16385
turbokube-0296,16337
turbokube-0297,15359
turbokube-0298,15508
turbokube-0299,16534
turbokube-029a,16851
turbokube-029b,15184
turbokube-029c,13968
turbokube-029d,16564
turbokube-029f,14251
turbokube-02a0,13444
turbokube-029e,16668
turbokube-02a2,13918
turbokube-02a3,12962
turbokube-02a1,15976
turbokube-02a4,15077
turbokube-02a5,13914
turbokube-02a6,14773
turbokube-02a7,17804
turbokube-02a8,17863
turbokube-02a9,14353
turbokube-02aa,15340
turbokube-02ab,16980
turbokube-02ac,17740
turbokube-02ad,15710
turbokube-02ae,14901
turbokube-02af,13642
turbokube-02b1,14615
turbokube-02b0,16799
turbokube-02b2,14606
turbokube-02b3,16423
turbokube-02b4,15811
turbokube-02b6,15789
turbokube-02b5,17665
turbokube-02b7,16821
turbokube-02b8,15825
turbokube-02b9,15923
turbokube-02ba,17532
turbokube-02bb,18537
turbokube-02bc,16187
turbokube-02bd,16365
turbokube-02be,18351
turbokube-02bf,21451
turbokube-02c0,17414
turbokube-02c1,15670
turbokube-02c2,19020
turbokube-02c4,14837
turbokube-02c5,15162
turbokube-02c3,24303
turbokube-02c7,14061
turbokube-02c8,14279
turbokube-02c6,24722
turbokube-02ca,15261
turbokube-02cb,14416
turbokube-02c9,24117
turbokube-02cc,22008
turbokube-02cd,16345
turbokube-02ce,15241
turbokube-02cf,18648
turbokube-02d0,18518
turbokube-02d1,17756
turbokube-02d2,18015
turbokube-02d3,18782
turbokube-02d4,18407
turbokube-02d5,16944
turbokube-02d6,16948
turbokube-02d7,16682
turbokube-02d8,18720
turbokube-02d9,17830
turbokube-02da,17775
turbokube-02db,16707
turbokube-02dc,17986
turbokube-02dd,17486
turbokube-02de,17153
turbokube-02df,19300
turbokube-02e0,17426
turbokube-02e1,16869
turbokube-02e2,17639
turbokube-02e3,17556
turbokube-02e4,18105
turbokube-02e5,16268
turbokube-02e6,16611
turbokube-02e7,18175
turbokube-02e9,15501
turbokube-02e8,18013
turbokube-02ea,15764
turbokube-02eb,18992
turbokube-02ec,15983
turbokube-02ee,16649
turbokube-02ed,18575
turbokube-02ef,18374
turbokube-02f0,17138
turbokube-02f1,17139
turbokube-02f2,18269
turbokube-02f3,19566
turbokube-02f4,17757
turbokube-02f5,16932
turbokube-02f6,18164
turbokube-02f7,18782
turbokube-02f8,17807
turbokube-02f9,17778
turbokube-02fa,20020
turbokube-02fb,19119
turbokube-02fc,17923
turbokube-02fd,17277
turbokube-02fe,20664
turbokube-02ff,18411
turbokube-0301,18189
turbokube-0300,18858
turbokube-0302,23304
turbokube-0303,16831
turbokube-0304,18340
turbokube-0305,17894
turbokube-0306,18574
turbokube-0308,16469
turbokube-0307,20654
turbokube-0309,18613
turbokube-030b,17203
turbokube-030a,21407
turbokube-030d,15989
turbokube-030c,21054
turbokube-030e,17038
turbokube-0310,16524
turbokube-030f,20230
turbokube-0311,19699
turbokube-0312,20952
turbokube-0313,17431
turbokube-0314,18367
turbokube-0315,19645
turbokube-0316,18660
turbokube-0317,18605
turbokube-0318,18507
turbokube-0319,20111
turbokube-031a,18319
turbokube-031b,18474
turbokube-031c,20087
turbokube-031d,19473
turbokube-031e,18938
turbokube-031f,19077
turbokube-0320,22399
turbokube-0321,21668
turbokube-0322,18619
turbokube-0323,19244
turbokube-0324,21419
turbokube-0325,20712
turbokube-0326,19333
turbokube-0327,19113
turbokube-0328,21617
turbokube-0329,21755
turbokube-032a,18396
turbokube-032b,18670
turbokube-032c,20779
turbokube-032e,15740
turbokube-032d,21298
turbokube-032f,19339
turbokube-0331,16168
turbokube-0330,20258
turbokube-0333,16921
turbokube-0332,21364
turbokube-0334,19795
turbokube-0335,20560
turbokube-0336,17890
turbokube-0337,20112
turbokube-0338,18924
turbokube-033a,18220
turbokube-0339,21838
turbokube-033b,20889
turbokube-033c,20024
turbokube-033d,19253
turbokube-033e,20145
turbokube-033f,30200
turbokube-0340,21733
turbokube-0341,20683
turbokube-0342,18115
turbokube-0344,16415
turbokube-0343,18271
turbokube-0345,18388
turbokube-0346,20834
turbokube-0347,19035
turbokube-0348,19922
turbokube-0349,19185
turbokube-034a,21082
turbokube-034b,16819
turbokube-034d,18786
turbokube-034c,20789
turbokube-034e,21073
turbokube-034f,20253
turbokube-0350,19912
turbokube-0351,22310
turbokube-0352,21121
turbokube-0353,20521
turbokube-0354,19328
turbokube-0355,21286
turbokube-0356,21992
turbokube-0357,20832
turbokube-0358,20065
turbokube-0359,21197
turbokube-035a,22144
turbokube-035b,21664
turbokube-035c,21555
turbokube-035d,22043
turbokube-035f,19322
turbokube-035e,22152
turbokube-0360,20149
