sequence,time (ms)
turbokube-0000,6724
turbokube-0001,7784
turbokube-0002,6728
turbokube-0003,6446
turbokube-0004,6071
turbokube-0005,6308
turbokube-0006,6137
turbokube-0007,6154
turbokube-0008,5884
turbokube-0009,6063
turbokube-000b,6354
turbokube-000a,7590
turbokube-000c,6285
turbokube-000d,6077
turbokube-000e,6076
turbokube-000f,6223
turbokube-0010,6328
turbokube-0011,6094
turbokube-0012,6162
turbokube-0013,6080
turbokube-0014,6585
turbokube-0015,6342
turbokube-0016,6089
turbokube-0017,6237
turbokube-0018,6424
turbokube-0019,6616
turbokube-001a,6673
turbokube-001b,6105
turbokube-001c,6341
turbokube-001d,6521
turbokube-001e,6857
turbokube-001f,6624
turbokube-0020,6112
turbokube-0021,6253
turbokube-0022,6368
turbokube-0023,6677
turbokube-0024,6514
turbokube-0025,6390
turbokube-0026,6526
turbokube-0027,6504
turbokube-0028,6619
turbokube-0029,6276
turbokube-002a,6424
turbokube-002b,6545
turbokube-002c,6338
turbokube-002d,6684
turbokube-002e,6227
turbokube-002f,6511
turbokube-0030,6638
turbokube-0031,6500
turbokube-0032,6491
turbokube-0033,6375
turbokube-0034,6500
turbokube-0035,6649
turbokube-0036,6599
turbokube-0037,6577
turbokube-0038,6521
turbokube-0039,6637
turbokube-003a,6533
turbokube-003b,6565
turbokube-003c,6595
turbokube-003d,6582
turbokube-003e,6504
turbokube-003f,6562
turbokube-0040,6475
turbokube-0041,6748
turbokube-0042,6716
turbokube-0043,6634
turbokube-0044,6670
turbokube-0045,9594
turbokube-0046,8714
turbokube-0047,9131
turbokube-0048,8904
turbokube-0049,6295
turbokube-004a,6857
turbokube-004b,6455
turbokube-004c,6664
turbokube-004d,6301
turbokube-004e,6416
turbokube-004f,6782
turbokube-0050,6530
turbokube-0051,6626
turbokube-0052,6306
turbokube-0053,6540
turbokube-0054,6877
turbokube-0055,6538
turbokube-0056,6431
turbokube-0057,6414
turbokube-0058,6699
turbokube-0059,6665
turbokube-005a,6626
turbokube-005b,6502
turbokube-005c,6605
turbokube-005d,6633
turbokube-005e,6671
turbokube-005f,6640
turbokube-0060,6589
turbokube-0061,6714
turbokube-0062,6655
turbokube-0063,6808
turbokube-0064,6412
turbokube-0065,6613
turbokube-0066,6700
turbokube-0067,6591
turbokube-0068,6686
turbokube-0069,6556
turbokube-006a,6656
turbokube-006b,6681
turbokube-006c,6647
turbokube-006d,6837
turbokube-006e,6524
turbokube-006f,6726
turbokube-0070,6647
turbokube-0071,6670
turbokube-0072,6890
turbokube-0073,6585
turbokube-0074,6556
turbokube-0075,6717
turbokube-0076,6815
turbokube-0077,6885
turbokube-0078,6541
turbokube-0079,6567
turbokube-007a,6679
turbokube-007b,6838
turbokube-007c,6689
turbokube-007d,6595
turbokube-007e,6507
turbokube-007f,6842
turbokube-0080,6847
turbokube-0081,6755
turbokube-0082,6674
turbokube-0083,6631
turbokube-0084,6805
turbokube-0085,6723
turbokube-0086,6772
turbokube-0087,6672
turbokube-0088,6821
turbokube-0089,6840
turbokube-008a,6909
turbokube-008b,6669
turbokube-008c,6717
turbokube-008d,6792
turbokube-008e,6807
turbokube-008f,6900
turbokube-0090,6666
turbokube-0091,6771
turbokube-0092,6834
turbokube-0093,6802
turbokube-0094,6996
turbokube-0095,6747
turbokube-0096,6895
turbokube-0097,6637
turbokube-0098,6814
turbokube-0099,6912
turbokube-009a,6687
turbokube-009b,6678
turbokube-009c,6782
turbokube-009d,6837
turbokube-009e,6917
turbokube-009f,6782
turbokube-00a0,6771
turbokube-00a1,6851
turbokube-00a2,6872
turbokube-00a3,6814
turbokube-00a4,6776
turbokube-00a5,6792
turbokube-00a6,6893
turbokube-00a7,6805
turbokube-00a8,6985
turbokube-00a9,6860
turbokube-00aa,6818
turbokube-00ab,6923
turbokube-00ac,6800
turbokube-00ad,6879
turbokube-00ae,6769
turbokube-00af,6929
turbokube-00b0,6835
turbokube-00b1,6929
turbokube-00b2,6902
turbokube-00b3,6931
turbokube-00b4,7001
turbokube-00b5,6860
turbokube-00b6,6901
turbokube-00b7,6849
turbokube-00b8,6905
turbokube-00b9,7035
turbokube-00ba,6870
turbokube-00bb,7011
turbokube-00bc,6872
turbokube-00bd,7030
turbokube-00be,6942
turbokube-00bf,6953
turbokube-00c0,7145
turbokube-00c1,6902
turbokube-00c2,6936
turbokube-00c3,7005
turbokube-00c4,6984
turbokube-00c5,6983
turbokube-00c6,6944
turbokube-00c7,6831
turbokube-00c8,6826
turbokube-00c9,6873
turbokube-00ca,6892
turbokube-00cb,6920
turbokube-00cc,6855
turbokube-00cd,6924
turbokube-00ce,7132
turbokube-00cf,6985
turbokube-00d0,7208
turbokube-00d1,6855
turbokube-00d2,6695
turbokube-00d3,6942
turbokube-00d4,6977
turbokube-00d5,6988
turbokube-00d6,6922
turbokube-00d7,6763
turbokube-00d8,6888
turbokube-00d9,6982
turbokube-00da,7010
turbokube-00db,6828
turbokube-00dc,6878
turbokube-00dd,6909
turbokube-00de,7198
turbokube-00df,6847
turbokube-00e0,7042
turbokube-00e1,6897
turbokube-00e2,6892
turbokube-00e3,6940
turbokube-00e4,7259
turbokube-00e5,6983
turbokube-00e6,6904
turbokube-00e7,6926
turbokube-00e8,6988
turbokube-00e9,6965
turbokube-00ea,7236
turbokube-00eb,6781
turbokube-00ec,7010
turbokube-00ed,7351
turbokube-00ee,7423
turbokube-00ef,7210
turbokube-00f0,7344
turbokube-00f1,6896
turbokube-00f2,7278
turbokube-00f3,7024
turbokube-00f4,7359
turbokube-00f5,7092
turbokube-00f6,7178
turbokube-00f7,6897
turbokube-00f8,7281
turbokube-00f9,7108
turbokube-00fa,7466
turbokube-00fb,7032
turbokube-00fc,7575
turbokube-00fd,7087
turbokube-00fe,7467
turbokube-00ff,7400
turbokube-0100,7327
turbokube-0101,7116
turbokube-0102,7521
turbokube-0103,7194
turbokube-0104,7440
turbokube-0105,7813
turbokube-0106,7266
turbokube-0107,7272
turbokube-0108,6969
turbokube-0109,7227
turbokube-010a,7410
turbokube-010b,7420
turbokube-010c,7912
turbokube-010d,7330
turbokube-010e,7799
turbokube-010f,7378
turbokube-0110,7817
turbokube-0111,7308
turbokube-0112,7688
turbokube-0113,7095
turbokube-0114,8010
turbokube-0115,7322
turbokube-0116,8192
turbokube-0117,7299
turbokube-0118,7787
turbokube-0119,7228
turbokube-011a,7679
turbokube-011b,7330
turbokube-011c,7308
turbokube-011d,7407
turbokube-011e,7732
turbokube-011f,7325
turbokube-0120,8464
turbokube-0121,7331
turbokube-0122,7726
turbokube-0123,7358
turbokube-0124,7658
turbokube-0125,7283
turbokube-0126,7722
turbokube-0127,7135
turbokube-0128,7504
turbokube-0129,7167
turbokube-012a,7737
turbokube-012b,7463
turbokube-012c,8351
turbokube-012d,7834
turbokube-012e,8177
turbokube-012f,7580
turbokube-0130,7966
turbokube-0131,7276
turbokube-0132,8169
turbokube-0133,7424
turbokube-0134,8319
turbokube-0135,7500
turbokube-0136,8323
turbokube-0137,7312
turbokube-0138,8030
turbokube-0139,7143
turbokube-013a,8855
turbokube-013b,7655
turbokube-013c,8358
turbokube-013d,7866
turbokube-013e,8671
turbokube-013f,7447
turbokube-0140,8262
turbokube-0141,7596
turbokube-0142,8550
turbokube-0143,7378
turbokube-0144,8432
turbokube-0145,7888
turbokube-0146,8815
turbokube-0147,7999
turbokube-0148,8980
turbokube-0149,8396
turbokube-014a,8915
turbokube-014b,7662
turbokube-014c,8479
turbokube-014d,7720
turbokube-014f,7593
turbokube-014e,9260
turbokube-0150,8763
turbokube-0151,8093
turbokube-0152,7848
turbokube-0153,9418
turbokube-0154,9315
turbokube-0155,7855
turbokube-0156,8320
