sequence,time (ms)
turbokube-011a,5341
turbokube-011b,5343
turbokube-011c,5190
turbokube-011d,5542
turbokube-011e,5338
turbokube-011f,4992
turbokube-0120,4993
turbokube-0121,5189
turbokube-0122,5193
turbokube-0123,5342
turbokube-0124,4991
turbokube-0125,5142
turbokube-0126,5171
turbokube-0127,5390
turbokube-0128,5442
turbokube-0129,5190
turbokube-012a,5391
turbokube-012b,5540
turbokube-012c,5181
turbokube-012d,5185
turbokube-012e,5543
turbokube-012f,5691
turbokube-0130,5592
turbokube-0131,5337
turbokube-0132,4991
turbokube-0133,5389
turbokube-0134,4991
turbokube-0135,4992
turbokube-0136,4992
turbokube-0137,5143
turbokube-0138,5591
turbokube-0139,5140
turbokube-013a,4994
turbokube-013b,4991
turbokube-013c,5397
turbokube-013d,5187
turbokube-013e,5192
turbokube-013f,5354
turbokube-0140,5207
turbokube-0141,5693
turbokube-0142,4989
turbokube-0143,5143
turbokube-0144,5891
turbokube-0145,5342
turbokube-0146,5332
turbokube-0147,5543
turbokube-0148,5491
turbokube-0149,5142
turbokube-014a,4989
turbokube-014b,5340
turbokube-014c,4992
turbokube-014d,5391
turbokube-014e,4990
turbokube-014f,5392
turbokube-0150,5490
turbokube-0151,5143
turbokube-0152,4989
turbokube-0153,5342
turbokube-0154,4991
turbokube-0155,5194
turbokube-0156,4988
turbokube-0157,5340
turbokube-0158,5393
turbokube-0159,4990
turbokube-015a,5541
turbokube-015b,5140
turbokube-015c,5142
turbokube-015d,5191
turbokube-015e,5589
turbokube-015f,5685
turbokube-0160,5490
turbokube-0161,5491
turbokube-0162,5391
turbokube-0163,5138
turbokube-0164,5141
turbokube-0165,5142
turbokube-0166,5192
turbokube-0167,5353
turbokube-0168,5224
turbokube-0169,4990
turbokube-016a,5190
turbokube-016b,5504
turbokube-016c,5129
turbokube-016d,4991
turbokube-016e,5540
turbokube-016f,5538
turbokube-0170,5341
turbokube-0171,5191
turbokube-0172,5541
turbokube-0173,4992
turbokube-0174,5742
turbokube-0175,5893
turbokube-0176,5887
turbokube-0177,4993
turbokube-0178,5541
turbokube-0179,5688
turbokube-017a,5541
turbokube-017b,5335
turbokube-017c,5390
turbokube-017d,5405
turbokube-017e,5478
turbokube-017f,5543
turbokube-0180,5389
turbokube-0181,5540
turbokube-0182,5293
turbokube-0183,4989
turbokube-0184,5343
turbokube-0185,5539
turbokube-0186,5340
turbokube-0187,5395
turbokube-0188,5191
turbokube-0189,5138
turbokube-018a,5140
turbokube-018b,5141
turbokube-018c,4995
turbokube-018d,5186
turbokube-018e,5191
turbokube-018f,5567
turbokube-0190,5408
turbokube-0191,5291
turbokube-0192,5643
turbokube-0193,5340
turbokube-0194,5193
turbokube-0195,5491
turbokube-0196,5541
turbokube-0197,4993
turbokube-0198,5128
turbokube-0199,5540
turbokube-019a,4993
turbokube-019b,4991
turbokube-019c,5143
turbokube-019d,4992
turbokube-019e,4994
turbokube-019f,5139
turbokube-01a0,5391
turbokube-01a1,5142
turbokube-01a2,5339
turbokube-01a3,5193
turbokube-01a4,5392
turbokube-01a5,5540
turbokube-01a6,5490
turbokube-01a7,5340
turbokube-01a8,4991
turbokube-01a9,5143
turbokube-01aa,4991
turbokube-01ab,5291
turbokube-01ac,5014
turbokube-01ad,5407
turbokube-01ae,5390
turbokube-01af,5192
turbokube-01b0,5142
turbokube-01b1,5489
turbokube-01b2,5342
turbokube-01b3,5342
turbokube-01b4,5393
turbokube-01b5,5341
turbokube-01b6,4992
turbokube-01b7,5339
turbokube-01b8,5394
turbokube-01b9,5338
turbokube-01ba,5191
turbokube-01bb,5190
turbokube-01bc,4991
turbokube-01bd,5148
turbokube-01be,5384
turbokube-01bf,5340
turbokube-01c0,5342
turbokube-01c1,4995
turbokube-01c2,5341
turbokube-01c3,5192
turbokube-01c4,5942
turbokube-01c5,5289
turbokube-01c6,4990
turbokube-01c7,5341
turbokube-01c8,5194
turbokube-01c9,5340
turbokube-01ca,5192
turbokube-01cb,5143
turbokube-01cc,5841
turbokube-01cd,4990
turbokube-01ce,5392
turbokube-01cf,5494
turbokube-01d0,5540
turbokube-01d1,5488
turbokube-01d2,5738
turbokube-01d3,5341
turbokube-01d4,4991
turbokube-01d5,5141
turbokube-01d6,5198
turbokube-01d7,4985
turbokube-01d8,5540
turbokube-01d9,5135
turbokube-01da,5391
turbokube-01db,5743
turbokube-01dc,5340
turbokube-01dd,5343
turbokube-01de,4990
turbokube-01df,4992
turbokube-01e0,4993
turbokube-01e1,4991
turbokube-01e2,5392
turbokube-01e3,5543
turbokube-01e4,5992
turbokube-01e5,4992
turbokube-01e6,5192
turbokube-01e7,5342
turbokube-01e8,5749
turbokube-01e9,5329
turbokube-01ea,4991
turbokube-01eb,4981
turbokube-01ec,5142
turbokube-01ed,5341
turbokube-01ee,4989
turbokube-01ef,4990
turbokube-01f0,5542
turbokube-01f1,5192
turbokube-01f2,4989
turbokube-01f3,5290
turbokube-01f4,5347
turbokube-01f5,5134
turbokube-01f6,4991
turbokube-01f7,5342
turbokube-01f8,5190
turbokube-01f9,5641
turbokube-01fa,5192
turbokube-01fb,4991
turbokube-01fc,5391
turbokube-01fd,5140
turbokube-01fe,5192
turbokube-01ff,5539
turbokube-0200,5191
turbokube-0201,5700
turbokube-0202,5275
turbokube-0203,5142
turbokube-0204,4991
turbokube-0205,5390
turbokube-0206,5191
turbokube-0207,5393
turbokube-0208,5142
turbokube-0209,5341
turbokube-020a,5340
turbokube-020b,5142
turbokube-020c,5492
turbokube-020d,5392
turbokube-020e,4993
turbokube-020f,5339
turbokube-0210,5694
turbokube-0211,4989
turbokube-0212,4991
turbokube-0213,5743
turbokube-0214,5339
turbokube-0215,4992
turbokube-0216,5591
turbokube-0217,5142
turbokube-0218,4976
turbokube-0219,5190
turbokube-021a,5365
turbokube-021b,5668
turbokube-021c,4994
turbokube-021d,5588
turbokube-021e,5391
turbokube-021f,5335
turbokube-0220,5565
turbokube-0221,5369
turbokube-0222,4990
turbokube-0223,5144
turbokube-0224,5643
turbokube-0225,5141
turbokube-0226,4991
turbokube-0227,5541
turbokube-0228,5592
turbokube-0229,5341
turbokube-022a,4991
turbokube-022b,5139
turbokube-022c,5491
turbokube-022d,4992
turbokube-022e,4992
turbokube-022f,5003
turbokube-0230,5479
turbokube-0231,4992
turbokube-0232,4991
turbokube-0233,5191
turbokube-0234,5189
turbokube-0235,5492
turbokube-0236,5188
turbokube-0237,5338
turbokube-0238,5140
turbokube-0239,5540
turbokube-023a,5540
turbokube-023b,5341
turbokube-023c,5191
turbokube-023d,4992
turbokube-023e,5539
turbokube-023f,5390
turbokube-0240,5492
turbokube-0241,5689
turbokube-0242,5541
turbokube-0243,5348
turbokube-0244,5018
turbokube-0245,5541
turbokube-0246,5388
turbokube-0247,5542
turbokube-0248,5741
turbokube-0249,5340
turbokube-024a,5593
turbokube-024b,5838
turbokube-024c,5343
turbokube-024d,5380
turbokube-024e,5491
turbokube-024f,5341
turbokube-0250,4990
turbokube-0251,4991
turbokube-0252,5692
turbokube-0253,4992
turbokube-0254,5341
turbokube-0255,4991
turbokube-0256,4991
turbokube-0257,5349
turbokube-0258,5183
turbokube-0259,5190
turbokube-025a,5141
turbokube-025b,5142
turbokube-025c,5340
turbokube-025d,4992
turbokube-025e,5791
turbokube-025f,5341
turbokube-0260,5190
turbokube-0261,5501
turbokube-0262,5182
turbokube-0263,5741
turbokube-0264,4991
turbokube-0265,4992
turbokube-0266,5192
turbokube-0267,5688
turbokube-0268,5139
turbokube-0269,5190
turbokube-026a,4990
turbokube-026b,5140
turbokube-026c,5543
turbokube-026d,5390
turbokube-026e,5541
turbokube-026f,5742
turbokube-0270,5142
turbokube-0271,5142
turbokube-0272,5092
turbokube-0273,5591
turbokube-0274,5542
turbokube-0275,5542
turbokube-0276,5196
turbokube-0277,5136
turbokube-0278,5541
turbokube-0279,5540
turbokube-027a,5590
turbokube-027b,5190
turbokube-027c,5489
turbokube-027d,5343
turbokube-027e,5535
turbokube-027f,5589
turbokube-0280,5342
turbokube-0281,5691
turbokube-0282,5001
turbokube-0283,5234
turbokube-0284,5541
turbokube-0285,5146
turbokube-0286,5184
turbokube-0287,5543
turbokube-0288,5139
turbokube-0289,5192
turbokube-028a,5590
turbokube-028b,5542
turbokube-028c,5542
turbokube-028d,4991
turbokube-028e,5543
turbokube-028f,5741
turbokube-0290,5390
turbokube-0291,5344
turbokube-0292,5147
turbokube-0293,5026
turbokube-0294,5123
turbokube-0295,5393
turbokube-0296,5542
turbokube-0297,4993
turbokube-0298,5191
turbokube-0299,4990
turbokube-029a,4991
turbokube-029b,5194
turbokube-029c,5536
turbokube-029d,5214
turbokube-029e,5378
turbokube-029f,5340
turbokube-02a0,5690
turbokube-02a1,5197
turbokube-02a2,4986
turbokube-02a3,5342
turbokube-02a4,5933
turbokube-02a5,5342
turbokube-02a6,4991
turbokube-02a7,4992
turbokube-02a8,5191
turbokube-02a9,5343
turbokube-02aa,5391
turbokube-02ab,5199
turbokube-02ac,5382
turbokube-02ad,5589
turbokube-02ae,5342
turbokube-02af,5393
turbokube-02b0,5143
turbokube-02b1,5205
turbokube-02b2,5025
turbokube-02b3,4988
turbokube-02b4,4990
turbokube-02b5,5741
turbokube-02b6,4968
turbokube-02b7,5744
turbokube-02b8,5340
turbokube-02b9,5391
turbokube-02ba,5491
turbokube-02bb,5143
turbokube-02bc,5192
turbokube-02bd,4985
turbokube-02be,5541
turbokube-02bf,5191
turbokube-02c0,5141
