sequence,time (ms)
turbokube-03ea,8948
turbokube-03e7,13975
turbokube-03e9,10349
turbokube-03e8,10654
turbokube-03eb,10333
turbokube-03ec,12444
turbokube-03ee,10183
turbokube-03ed,10908
turbokube-03ef,9500
turbokube-03f0,9633
turbokube-03f1,9136
turbokube-03f2,10612
turbokube-03f3,10151
turbokube-03f4,10801
turbokube-03f5,9571
turbokube-03f7,10105
turbokube-03f6,11677
turbokube-03f8,9682
turbokube-03f9,8795
turbokube-03fa,10719
turbokube-03fb,11205
turbokube-03fc,10681
turbokube-03fd,9477
turbokube-03fe,9076
turbokube-03ff,9624
