sequence,time (ms)
turbokube-0119,6634
turbokube-011a,6848
turbokube-011b,7081
turbokube-011c,6789
turbokube-011d,7039
turbokube-011e,6713
turbokube-011f,6871
turbokube-0120,6958
turbokube-0121,6916
turbokube-0122,6979
turbokube-0123,6764
turbokube-0124,6686
turbokube-0125,6954
turbokube-0126,7059
turbokube-0127,6892
turbokube-0128,6772
turbokube-0129,6564
turbokube-012a,6995
turbokube-012b,7012
turbokube-012c,6990
turbokube-012d,6785
turbokube-012e,6715
turbokube-012f,6932
turbokube-0130,6988
turbokube-0131,6859
turbokube-0132,6688
turbokube-0133,6788
turbokube-0134,6769
turbokube-0135,7388
turbokube-0136,6863
turbokube-0137,6657
turbokube-0138,6831
turbokube-0139,6919
turbokube-013a,7374
turbokube-013b,6950
turbokube-013c,6526
turbokube-013d,6809
turbokube-013e,6791
turbokube-013f,7115
turbokube-0140,8610
turbokube-0141,7039
turbokube-0142,7216
turbokube-0144,6714
turbokube-0143,7656
turbokube-0145,6903
turbokube-0146,6780
turbokube-0147,6946
turbokube-0148,7136
turbokube-0149,7066
turbokube-014a,6940
turbokube-014b,6141
turbokube-014c,6901
turbokube-014d,6706
turbokube-014e,6924
turbokube-014f,6820
turbokube-0152,7099
turbokube-0153,7152
turbokube-0151,7064
turbokube-0150,7227
turbokube-0154,6677
turbokube-0155,6900
turbokube-0156,7159
turbokube-0157,7293
turbokube-0158,6812
turbokube-0159,6725
turbokube-015a,6835
turbokube-015b,7410
turbokube-015c,6934
turbokube-015d,6699
turbokube-015e,6763
turbokube-015f,7067
turbokube-0160,7087
turbokube-0161,6823
turbokube-0162,6543
turbokube-0163,7092
turbokube-0164,7115
turbokube-0165,6826
turbokube-0166,6955
turbokube-0167,7106
turbokube-0168,6955
turbokube-0169,7169
turbokube-016a,6802
turbokube-016b,6792
turbokube-016c,7006
turbokube-016d,6963
turbokube-016e,7087
turbokube-016f,7232
turbokube-0170,6910
turbokube-0171,6939
turbokube-0172,6872
turbokube-0173,7179
turbokube-0174,6906
turbokube-0175,6825
turbokube-0176,6781
turbokube-0177,6932
turbokube-0178,6985
turbokube-0179,6960
turbokube-017a,7040
turbokube-017b,6947
turbokube-017c,7007
turbokube-017e,7322
turbokube-017f,7216
turbokube-017d,10291
turbokube-0180,7011
turbokube-0181,6650
turbokube-0182,7478
turbokube-0183,7236
turbokube-0184,7111
turbokube-0185,6566
turbokube-0186,6874
turbokube-0187,7002
turbokube-0188,7047
turbokube-0189,6915
turbokube-018a,6875
turbokube-018b,6679
turbokube-018c,7166
turbokube-018d,6911
turbokube-018e,6929
turbokube-018f,6913
turbokube-0190,6891
turbokube-0191,6855
turbokube-0192,7288
turbokube-0193,7011
turbokube-0194,7028
turbokube-0195,7455
turbokube-0196,6857
turbokube-0197,7320
turbokube-0198,6990
turbokube-0199,6980
turbokube-019a,7300
turbokube-019b,6777
turbokube-019c,7242
turbokube-019d,6866
turbokube-019e,7003
turbokube-019f,6964
turbokube-01a0,6829
turbokube-01a1,7209
turbokube-01a2,7313
turbokube-01a3,7189
turbokube-01a4,7572
turbokube-01a5,6991
turbokube-01a6,7365
turbokube-01a7,6890
turbokube-01a8,7164
turbokube-01a9,7000
turbokube-01aa,7229
turbokube-01ab,7082
turbokube-01ac,7016
turbokube-01ad,7176
turbokube-01ae,6954
turbokube-01af,6800
turbokube-01b0,6877
turbokube-01b1,6778
turbokube-01b2,7328
turbokube-01b3,6927
turbokube-01b4,6972
turbokube-01b5,7019
turbokube-01b6,7148
turbokube-01b7,7069
turbokube-01b8,7375
turbokube-01b9,6974
turbokube-01ba,7177
turbokube-01bb,7298
turbokube-01bc,6955
turbokube-01bd,6995
turbokube-01be,7102
turbokube-01bf,6871
turbokube-01c0,7145
turbokube-01c1,6937
turbokube-01c2,7139
turbokube-01c3,7150
turbokube-01c4,7112
turbokube-01c5,6877
turbokube-01c6,7432
turbokube-01c7,7264
turbokube-01c8,7028
turbokube-01c9,6965
turbokube-01ca,7383
turbokube-01cb,7079
turbokube-01cc,7277
turbokube-01cd,7135
turbokube-01ce,6967
turbokube-01cf,7026
turbokube-01d0,7081
turbokube-01d1,7213
turbokube-01d2,7185
turbokube-01d3,6959
turbokube-01d4,7143
turbokube-01d5,7179
turbokube-01d6,7393
turbokube-01d7,7186
turbokube-01d8,6928
turbokube-01d9,7139
turbokube-01da,7384
turbokube-01db,7190
turbokube-01dc,7391
turbokube-01dd,10080
turbokube-01de,9595
turbokube-01df,9652
turbokube-01e0,10761
turbokube-01e1,7166
turbokube-01e2,7520
turbokube-01e3,7045
turbokube-01e4,6791
turbokube-01e5,7452
turbokube-01e6,7638
turbokube-01e7,7337
turbokube-01e8,6869
turbokube-01e9,6594
turbokube-01ea,7617
turbokube-01eb,7310
turbokube-01ec,7215
turbokube-01ed,6854
turbokube-01ee,7502
turbokube-01ef,7695
turbokube-01f0,7395
turbokube-01f1,7319
turbokube-01f2,7132
turbokube-01f3,6956
turbokube-01f4,7478
turbokube-01f5,7985
turbokube-01f6,7499
turbokube-01f7,7052
turbokube-01f8,6761
turbokube-01f9,7262
turbokube-01fb,7234
turbokube-01fc,7705
turbokube-01fa,7580
turbokube-01fd,7117
turbokube-01fe,6801
turbokube-0201,7160
turbokube-0200,7324
turbokube-01ff,7078
turbokube-0202,7337
turbokube-0203,7048
turbokube-0204,7232
turbokube-0207,6921
turbokube-0205,7131
turbokube-0206,7493
turbokube-0208,7244
turbokube-0209,6605
turbokube-020a,7042
turbokube-020b,7133
turbokube-020c,8129
turbokube-020e,7525
turbokube-020d,7351
turbokube-020f,6979
turbokube-0210,7334
turbokube-0212,7097
turbokube-0211,7324
turbokube-0213,6674
turbokube-0214,7037
turbokube-0215,7067
turbokube-0216,7042
turbokube-0218,7245
turbokube-0217,9732
turbokube-0219,6889
turbokube-021a,7856
turbokube-021b,7496
turbokube-021c,7008
turbokube-021d,7494
turbokube-021e,7613
turbokube-021f,7213
turbokube-0220,6921
turbokube-0221,6841
turbokube-0222,7214
turbokube-0223,7347
turbokube-0224,7246
turbokube-0225,7244
turbokube-0226,6999
turbokube-0227,7327
turbokube-0228,7935
turbokube-0229,7210
turbokube-022a,7167
turbokube-022b,7212
turbokube-022c,6804
turbokube-022d,7260
turbokube-022e,7923
turbokube-022f,7556
turbokube-0230,6896
turbokube-0231,7005
turbokube-0232,7227
turbokube-0233,7644
turbokube-0234,7208
turbokube-0235,6658
turbokube-0236,7575
turbokube-0237,7436
turbokube-0238,7128
turbokube-0239,7351
turbokube-023a,7216
turbokube-023b,7573
turbokube-023c,7491
turbokube-023d,6943
turbokube-023e,7193
turbokube-023f,7540
turbokube-0240,7301
turbokube-0241,7083
turbokube-0242,7468
turbokube-0243,7584
turbokube-0244,7770
turbokube-0245,7614
turbokube-0246,7246
turbokube-0247,8455
turbokube-0248,7241
turbokube-0249,7177
turbokube-024a,7221
turbokube-024b,7467
turbokube-024c,7172
turbokube-024d,7332
turbokube-024e,7500
turbokube-024f,7936
turbokube-0250,7502
turbokube-0251,7165
turbokube-0252,8109
turbokube-0253,7374
turbokube-0254,8152
turbokube-0255,7945
turbokube-0256,7562
turbokube-0257,7493
turbokube-0258,6864
turbokube-0259,7357
turbokube-025a,7294
turbokube-025b,7626
turbokube-025c,6980
turbokube-025d,6832
turbokube-025e,7300
turbokube-025f,7462
turbokube-0260,7250
turbokube-0261,7821
turbokube-0262,7305
turbokube-0263,7329
turbokube-0264,7088
turbokube-0265,7538
turbokube-0266,12336
turbokube-0267,12764
turbokube-0268,11049
turbokube-0269,10288
turbokube-026a,8391
turbokube-026b,8088
turbokube-026c,7574
turbokube-026d,7658
turbokube-026e,7443
turbokube-026f,7592
turbokube-0270,7682
turbokube-0271,7660
turbokube-0272,7028
turbokube-0273,7803
turbokube-0274,7321
turbokube-0275,7298
turbokube-0276,7753
turbokube-0277,7754
turbokube-0278,7177
turbokube-0279,7126
turbokube-027a,7493
turbokube-027b,7560
turbokube-027c,7266
turbokube-027d,7226
turbokube-027e,7574
turbokube-027f,7694
turbokube-0280,7415
turbokube-0281,7441
turbokube-0282,7345
turbokube-0283,8205
turbokube-0284,7612
turbokube-0285,8113
turbokube-0286,7266
turbokube-0287,7814
turbokube-0288,7291
turbokube-0289,7042
turbokube-028a,7174
turbokube-028b,7678
turbokube-028c,7374
turbokube-028d,7558
turbokube-028e,7495
turbokube-028f,8010
turbokube-0290,7561
turbokube-0291,7571
turbokube-0292,7544
turbokube-0293,8447
turbokube-0294,7531
turbokube-0295,7607
turbokube-0296,7578
turbokube-0297,8137
turbokube-0298,7504
turbokube-0299,7654
turbokube-029a,7488
turbokube-029b,8305
turbokube-029c,7590
turbokube-029d,7362
turbokube-029e,7390
turbokube-029f,8684
turbokube-02a0,7835
turbokube-02a1,7496
turbokube-02a2,7881
turbokube-02a3,8277
turbokube-02a4,7393
turbokube-02a5,7693
turbokube-02a6,7548
turbokube-02a7,8549
turbokube-02a8,7588
turbokube-02a9,7216
turbokube-02aa,7196
turbokube-02ab,8953
turbokube-02ac,7530
turbokube-02ad,8083
turbokube-02ae,7399
turbokube-02af,8277
turbokube-02b0,8416
turbokube-02b1,8941
turbokube-02b2,8554
turbokube-02b3,7963
turbokube-02b4,7629
turbokube-02b5,7552
turbokube-02b6,7310
turbokube-02b7,7931
turbokube-02b8,6894
turbokube-02b9,7448
turbokube-02ba,7778
turbokube-02bb,8144
turbokube-02bc,7815
turbokube-02bd,7570
turbokube-02be,7763
turbokube-02bf,8572
turbokube-02c0,7415
turbokube-02c1,7354
turbokube-02c2,7517
turbokube-02c3,9088
turbokube-02c4,7710
turbokube-02c5,7578
turbokube-02c6,7380
turbokube-02c7,9004
turbokube-02c8,7995
turbokube-02c9,7371
turbokube-02ca,7717
turbokube-02cb,8138
turbokube-02cc,7497
turbokube-02cd,8665
turbokube-02ce,7526
turbokube-02cf,8130
turbokube-02d0,7867
turbokube-02d1,7753
turbokube-02d2,7909
turbokube-02d3,8854
turbokube-02d4,7407
turbokube-02d5,7390
turbokube-02d6,7615
turbokube-02d7,8945
turbokube-02d8,7474
turbokube-02d9,7799
turbokube-02da,7732
turbokube-02db,8946
turbokube-02dc,8266
turbokube-02dd,8112
turbokube-02de,7414
turbokube-02df,8949
turbokube-02e0,8019
turbokube-02e1,7340
turbokube-02e2,10861
turbokube-02e3,8404
turbokube-02e4,8415
turbokube-02e5,7663
turbokube-02e6,7756
turbokube-02e7,8019
turbokube-02e8,7374
turbokube-02e9,7123
turbokube-02ea,7980
turbokube-02eb,8529
turbokube-02ec,7965
turbokube-02ed,7661
turbokube-02ee,8651
turbokube-02ef,8882
turbokube-02f0,7617
turbokube-02f1,7823
turbokube-02f2,7438
turbokube-02f3,8675
turbokube-02f4,14446
turbokube-02f5,14330
turbokube-02f6,13002
turbokube-02f7,15301
turbokube-02f9,7947
turbokube-02f8,10402
turbokube-02fa,7257
turbokube-02fb,9340
turbokube-02fc,8040
turbokube-02fd,8290
turbokube-02fe,8090
turbokube-02ff,9340
turbokube-0300,8420
turbokube-0301,7642
turbokube-0302,7455
turbokube-0303,8689
turbokube-0304,7869
turbokube-0305,7682
turbokube-0306,7839
turbokube-0307,9264
turbokube-0308,7732
turbokube-0309,7856
turbokube-030a,7495
turbokube-030b,9227
turbokube-030c,8474
turbokube-030d,8013
turbokube-030e,7748
turbokube-030f,9498
turbokube-0310,8189
turbokube-0311,7742
turbokube-0312,9271
turbokube-0313,9521
turbokube-0314,8066
turbokube-0315,7699
turbokube-0316,8180
turbokube-0317,9128
turbokube-0318,8106
turbokube-0319,8537
turbokube-031a,8140
turbokube-031b,9632
turbokube-031c,8549
turbokube-031d,8146
turbokube-031e,7992
turbokube-031f,9206
turbokube-0320,8419
turbokube-0321,7619
turbokube-0322,8643
turbokube-0323,9235
turbokube-0324,8955
turbokube-0325,7897
turbokube-0326,8160
turbokube-0327,9138
turbokube-0328,8570
turbokube-0329,7647
turbokube-032a,8162
turbokube-032b,9551
turbokube-032c,8534
turbokube-032d,7976
turbokube-032e,7877
turbokube-032f,9207
turbokube-0330,9076
turbokube-0331,7852
turbokube-0332,7550
turbokube-0333,9543
turbokube-0334,8183
turbokube-0335,7471
turbokube-0336,7484
turbokube-0337,9638
turbokube-0338,7706
turbokube-0339,7549
turbokube-033a,8226
turbokube-033b,9326
turbokube-033c,7901
turbokube-033d,7638
turbokube-033e,7742
turbokube-033f,9573
turbokube-0340,7771
turbokube-0341,7741
turbokube-0342,8503
turbokube-0343,9561
turbokube-0344,8498
turbokube-0345,8013
turbokube-0346,8142
turbokube-0347,9736
turbokube-0348,8421
turbokube-0349,8225
turbokube-034a,8377
turbokube-034b,9892
turbokube-034c,8468
turbokube-034d,7778
turbokube-034e,7862
turbokube-034f,9857
turbokube-0350,8570
turbokube-0351,7946
turbokube-0352,7942
turbokube-0354,7695
turbokube-0355,7975
turbokube-0356,7660
turbokube-0353,14049
turbokube-0357,9335
turbokube-0358,7886
turbokube-0359,8215
turbokube-035a,8753
turbokube-035b,8389
turbokube-035c,8060
turbokube-035d,8357
turbokube-035e,8610
turbokube-035f,8167
turbokube-0360,8370
turbokube-0361,9017
turbokube-0362,9773
turbokube-0363,8038
turbokube-0364,7945
turbokube-0365,9083
turbokube-0367,8788
turbokube-0366,10454
turbokube-0368,7580
turbokube-0369,8539
turbokube-036a,8098
turbokube-036c,7523
turbokube-036b,9889
turbokube-036d,8470
turbokube-036e,8643
turbokube-036f,8145
turbokube-0370,10308
turbokube-0371,8993
