sequence,time (ms)
turbokube-0376,8554
turbokube-0377,7881
turbokube-0379,8106
turbokube-0378,8254
turbokube-037a,9693
turbokube-037b,9419
turbokube-037c,8296
turbokube-037d,7598
turbokube-037e,9062
turbokube-037f,9534
turbokube-0380,8584
turbokube-0381,7776
turbokube-0382,8949
turbokube-0384,10341
turbokube-0383,12711
turbokube-0385,9473
turbokube-0386,8571
turbokube-0387,9469
turbokube-0389,8016
turbokube-038a,8147
turbokube-0388,9166
turbokube-038c,9036
turbokube-038b,11276
turbokube-038d,8964
turbokube-038e,8838
turbokube-038f,8131
turbokube-0391,8284
turbokube-0390,8321
turbokube-0392,10694
turbokube-0393,8280
turbokube-0394,10585
turbokube-0395,10557
turbokube-0396,8991
turbokube-0397,7868
turbokube-0398,8876
turbokube-0399,9556
turbokube-039b,7960
turbokube-039a,10913
turbokube-039c,8639
turbokube-039d,9865
turbokube-039e,8449
turbokube-039f,10844
turbokube-03a0,8785
turbokube-03a1,8986
turbokube-03a2,8273
turbokube-03a3,10477
turbokube-03a4,8221
turbokube-03a5,8824
turbokube-03a6,8992
turbokube-03a7,10460
turbokube-03a8,9519
turbokube-03a9,9338
turbokube-03aa,8877
turbokube-03ab,10465
turbokube-03ac,8809
turbokube-03ae,8187
turbokube-03ad,8763
turbokube-03af,10229
turbokube-03b0,9207
turbokube-03b1,8352
turbokube-03b2,9134
turbokube-03b3,11202
turbokube-03b4,9909
turbokube-03b5,8388
turbokube-03b6,9779
turbokube-03b7,9678
turbokube-03b8,9219
turbokube-03b9,7839
turbokube-03ba,9264
turbokube-03bb,10895
turbokube-03bc,10256
turbokube-03bd,8515
turbokube-03be,8837
turbokube-03bf,11059
turbokube-03c0,9061
turbokube-03c1,8523
turbokube-03c2,9991
turbokube-03c3,11357
turbokube-03c5,9254
turbokube-03c4,9341
turbokube-03c6,8721
turbokube-03c7,11205
turbokube-03c8,10026
turbokube-03c9,8846
turbokube-03ca,8898
turbokube-03cb,10528
turbokube-03cc,8935
turbokube-03cd,8779
turbokube-03ce,8593
turbokube-03cf,11097
turbokube-03d0,9211
turbokube-03d1,8776
turbokube-03d2,8531
turbokube-03d3,11010
turbokube-03d4,8854
turbokube-03d5,9286
turbokube-03d6,8518
turbokube-03d8,9419
turbokube-03d7,12019
turbokube-03d9,9105
turbokube-03da,8819
turbokube-03db,9641
turbokube-03dd,8165
turbokube-03de,8243
turbokube-03dc,9721
turbokube-03df,9480
turbokube-03e0,9346
turbokube-03e1,9550
turbokube-03e2,9920
