sequence,time (ms)
turbokube-0000,6403
turbokube-0003,6381
turbokube-0001,6390
turbokube-0002,6434
turbokube-0004,6048
turbokube-0005,6514
turbokube-0006,6650
turbokube-0007,6698
turbokube-0008,6445
turbokube-0009,6240
turbokube-000a,6773
turbokube-000b,6451
turbokube-000c,6524
turbokube-000d,6271
turbokube-000e,6070
turbokube-000f,6354
turbokube-0010,6560
turbokube-0011,6339
turbokube-0012,6331
turbokube-0013,6238
turbokube-0014,6588
turbokube-0015,6518
turbokube-0016,6338
turbokube-0017,6141
turbokube-0018,6586
turbokube-0019,6562
turbokube-001a,6394
turbokube-001b,6347
turbokube-001c,6246
turbokube-001d,6492
turbokube-001e,6456
turbokube-001f,6514
turbokube-0020,6261
turbokube-0021,6489
turbokube-0022,6414
turbokube-0023,6529
turbokube-0024,6432
turbokube-0025,6307
turbokube-0026,6500
turbokube-0027,6518
turbokube-0028,6563
turbokube-0029,6403
turbokube-002a,6379
turbokube-002b,6356
turbokube-002c,6501
turbokube-002d,6557
turbokube-002e,6374
turbokube-002f,6419
turbokube-0030,6434
turbokube-0031,6554
turbokube-0032,6555
turbokube-0033,6479
turbokube-0034,6355
turbokube-0035,6473
turbokube-0036,6396
turbokube-0037,6667
turbokube-0038,6574
turbokube-0039,6515
turbokube-003a,6544
turbokube-003b,6566
turbokube-003c,6682
turbokube-003d,6412
turbokube-003e,6495
turbokube-003f,6554
turbokube-0040,6597
turbokube-0041,6588
turbokube-0042,6379
turbokube-0043,6410
turbokube-0044,6412
turbokube-0045,6476
turbokube-0046,6558
turbokube-0047,6292
turbokube-0048,6507
turbokube-0049,6405
turbokube-004a,6454
turbokube-004b,6610
turbokube-004c,6337
turbokube-004d,6562
turbokube-004e,6455
turbokube-004f,6509
turbokube-0050,6459
turbokube-0051,6583
turbokube-0052,6487
turbokube-0053,6666
turbokube-0054,6646
turbokube-0055,6495
turbokube-0056,6573
turbokube-0057,6466
turbokube-0058,6416
turbokube-0059,6552
turbokube-005a,6547
turbokube-005b,6540
turbokube-005c,6546
turbokube-005d,6575
turbokube-005e,6477
turbokube-005f,6613
turbokube-0060,6606
turbokube-0061,6402
turbokube-0062,6458
turbokube-0063,6646
turbokube-0064,6494
turbokube-0065,6405
turbokube-0066,6511
turbokube-0067,6396
turbokube-0068,6630
turbokube-0069,6609
turbokube-006a,6435
turbokube-006b,6587
turbokube-006c,6432
turbokube-006d,6554
turbokube-006e,6578
turbokube-006f,6502
turbokube-0070,6617
turbokube-0071,6441
turbokube-0072,6513
turbokube-0073,6732
turbokube-0074,6581
turbokube-0075,6587
turbokube-0076,6475
turbokube-0077,6637
turbokube-0078,6611
turbokube-0079,6552
turbokube-007a,6482
turbokube-007b,6591
turbokube-007c,6582
turbokube-007d,6515
turbokube-007e,6435
turbokube-007f,6576
turbokube-0080,6720
turbokube-0081,6504
turbokube-0082,6489
turbokube-0083,6682
turbokube-0084,6582
turbokube-0085,6538
turbokube-0086,6634
turbokube-0087,6495
turbokube-0088,6518
turbokube-0089,6469
turbokube-008a,6573
turbokube-008b,6500
turbokube-008c,6584
turbokube-008d,6524
turbokube-008e,6428
turbokube-008f,6684
turbokube-0090,6551
turbokube-0091,6803
turbokube-0092,6474
turbokube-0093,6517
turbokube-0094,6667
turbokube-0095,6630
turbokube-0096,6568
turbokube-0097,6581
turbokube-0098,6668
turbokube-0099,6448
turbokube-009a,6548
turbokube-009b,6682
turbokube-009c,6541
turbokube-009d,6556
turbokube-009e,6553
turbokube-009f,6588
turbokube-00a0,6620
turbokube-00a1,6567
turbokube-00a2,6396
turbokube-00a3,6708
turbokube-00a4,6611
turbokube-00a5,6630
turbokube-00a6,6512
turbokube-00a7,6632
turbokube-00a8,6647
turbokube-00a9,6653
turbokube-00aa,6662
turbokube-00ab,6698
turbokube-00ac,6511
turbokube-00ad,6796
turbokube-00ae,6538
turbokube-00af,6804
turbokube-00b0,6693
turbokube-00b1,6481
turbokube-00b2,6668
turbokube-00b3,6605
turbokube-00b4,6741
turbokube-00b5,6701
turbokube-00b6,6509
turbokube-00b7,6805
turbokube-00b8,6614
turbokube-00b9,6721
turbokube-00ba,6583
turbokube-00bb,6400
turbokube-00bd,6837
turbokube-00be,7136
turbokube-00bc,9892
turbokube-00bf,6612
turbokube-00c0,6308
