sequence,time (ms)
turbokube-0119,7140
turbokube-011a,6915
turbokube-011b,6914
turbokube-011c,6833
turbokube-011d,7095
turbokube-011e,6894
turbokube-011f,7196
turbokube-0120,6875
turbokube-0121,6756
turbokube-0122,7026
turbokube-0123,6867
turbokube-0124,7315
turbokube-0125,6982
turbokube-0126,7317
turbokube-0127,6962
turbokube-0128,6907
turbokube-0129,6767
turbokube-012a,6811
turbokube-012b,7029
turbokube-012c,6893
turbokube-012d,6940
turbokube-012e,7753
turbokube-012f,6967
turbokube-0130,7298
turbokube-0131,7292
turbokube-0132,6707
turbokube-0133,6838
turbokube-0134,6881
turbokube-0135,6723
turbokube-0136,6734
turbokube-0137,7243
turbokube-0138,7680
turbokube-0139,6958
turbokube-013a,7148
turbokube-013b,6832
turbokube-013c,6807
turbokube-013d,6749
turbokube-013e,6772
turbokube-013f,7295
turbokube-0140,6775
turbokube-0141,9443
turbokube-0142,7165
turbokube-0143,6614
turbokube-0144,6757
turbokube-0145,6395
turbokube-0146,6847
turbokube-0147,7189
turbokube-0148,7053
turbokube-0149,6671
turbokube-014a,6525
turbokube-014b,7047
turbokube-014c,7486
turbokube-014d,7664
turbokube-014e,6810
turbokube-014f,6380
turbokube-0150,7010
turbokube-0151,7200
turbokube-0152,7108
turbokube-0153,6576
turbokube-0154,7803
turbokube-0155,6822
turbokube-0156,6871
turbokube-0157,8048
turbokube-0158,7110
turbokube-0159,6813
turbokube-015a,6703
turbokube-015b,6937
turbokube-015c,6922
turbokube-015d,7362
turbokube-015e,7130
turbokube-015f,6833
turbokube-0160,7101
turbokube-0161,6848
turbokube-0162,6785
turbokube-0163,7050
turbokube-0164,6852
turbokube-0165,7470
turbokube-0166,7244
turbokube-0167,6935
turbokube-0168,6909
turbokube-0169,6418
turbokube-016b,7114
turbokube-016a,7076
turbokube-016c,7393
turbokube-016d,7101
turbokube-016e,7213
turbokube-016f,7622
turbokube-0170,7887
turbokube-0171,6467
turbokube-0172,6867
turbokube-0173,7043
turbokube-0174,7070
turbokube-0175,7076
turbokube-0176,7029
turbokube-0177,7755
turbokube-0178,7142
turbokube-0179,7176
turbokube-017a,7794
turbokube-017b,7364
turbokube-017c,7159
turbokube-017d,6545
turbokube-017e,6865
turbokube-017f,7015
turbokube-0180,7567
turbokube-0181,6997
turbokube-0182,8063
turbokube-0183,6805
turbokube-0184,7460
turbokube-0185,6771
turbokube-0186,6949
turbokube-0187,7163
turbokube-0188,7190
turbokube-0189,6806
turbokube-018a,6824
turbokube-018b,7077
turbokube-018c,7101
turbokube-018d,6999
turbokube-018e,7245
turbokube-018f,7201
turbokube-0190,7218
turbokube-0191,6945
turbokube-0192,6956
turbokube-0193,6774
turbokube-0194,7004
turbokube-0195,6999
turbokube-0196,7206
turbokube-0197,6869
turbokube-0198,8543
turbokube-0199,7584
turbokube-019a,6720
turbokube-019b,7892
turbokube-019c,6790
turbokube-019d,7247
turbokube-019e,7566
turbokube-019f,6652
turbokube-01a0,7248
turbokube-01a1,6638
turbokube-01a2,7494
turbokube-01a3,7370
turbokube-01a4,6834
turbokube-01a5,7279
turbokube-01a6,7199
turbokube-01a7,6980
turbokube-01a8,7073
turbokube-01a9,7109
turbokube-01aa,7219
turbokube-01ab,7044
turbokube-01ac,8125
turbokube-01ae,7156
turbokube-01ad,10068
turbokube-01af,8081
turbokube-01b0,7697
turbokube-01b1,7773
turbokube-01b2,7000
turbokube-01b3,7013
turbokube-01b4,7465
turbokube-01b5,7088
turbokube-01b6,7462
turbokube-01b7,7916
turbokube-01b8,7537
turbokube-01b9,10623
turbokube-01ba,12349
turbokube-01bd,8232
turbokube-01be,8378
turbokube-01bb,14269
turbokube-01bc,16959
turbokube-01bf,8801
turbokube-01c1,7105
turbokube-01c0,7038
turbokube-01c2,7170
turbokube-01c3,7295
turbokube-01c4,14423
turbokube-01c5,6661
turbokube-01c6,6864
turbokube-01c7,7460
turbokube-01c8,7222
turbokube-01c9,6974
turbokube-01ca,7509
turbokube-01cb,7825
turbokube-01ce,7865
turbokube-01cd,14507
turbokube-01cc,16072
turbokube-01d0,7129
turbokube-01d1,7257
turbokube-01cf,7298
turbokube-01d2,7564
turbokube-01d3,7348
turbokube-01d4,7318
turbokube-01d5,6941
turbokube-01d6,7632
turbokube-01d7,7237
turbokube-01d8,12346
turbokube-01d9,12788
turbokube-01da,11566
turbokube-01db,7516
turbokube-01dc,8062
turbokube-01dd,7962
turbokube-01de,7924
turbokube-01df,8369
turbokube-01e0,7162
turbokube-01e1,6921
turbokube-01e2,7169
turbokube-01e3,7459
turbokube-01e4,11622
turbokube-01e5,18570
turbokube-01e6,7375
turbokube-01e8,7516
turbokube-01e7,7666
turbokube-01e9,8270
turbokube-01ea,7743
turbokube-01eb,7977
turbokube-01ed,7272
turbokube-01ef,6841
turbokube-01ee,9519
turbokube-01ec,16764
turbokube-01f0,11102
turbokube-01f1,6909
turbokube-01f2,6945
turbokube-01f3,7223
turbokube-01f4,7155
turbokube-01f7,7464
turbokube-01f5,7633
turbokube-01f6,7337
turbokube-01f8,7160
turbokube-01f9,7972
turbokube-01fa,7262
turbokube-01fb,7507
turbokube-01fc,61354
turbokube-01fd,59043
turbokube-01ff,57378
turbokube-01fe,59902
turbokube-0200,10088
