sequence,time (ms)
turbokube-0119,5193
turbokube-011a,5539
turbokube-011b,5341
turbokube-011c,4994
turbokube-011d,5142
turbokube-011e,5194
turbokube-011f,5539
turbokube-0120,4992
turbokube-0121,5541
turbokube-0122,5741
turbokube-0123,5340
turbokube-0124,5592
turbokube-0125,5143
turbokube-0126,4989
turbokube-0127,5196
turbokube-0128,5336
turbokube-0129,5191
turbokube-012a,5202
turbokube-012b,5325
turbokube-012c,5163
turbokube-012d,5289
turbokube-012e,5342
turbokube-012f,5341
turbokube-0130,4992
turbokube-0131,4995
turbokube-0132,5022
turbokube-0133,5002
turbokube-0134,5192
turbokube-0135,5190
turbokube-0136,4993
turbokube-0137,4991
turbokube-0138,5292
turbokube-0139,4993
turbokube-013a,5142
turbokube-013b,4993
turbokube-013c,5162
turbokube-013d,5414
turbokube-013e,5591
turbokube-013f,5542
turbokube-0140,4992
turbokube-0141,4992
turbokube-0142,5190
turbokube-0143,5196
turbokube-0144,5486
turbokube-0145,4984
turbokube-0146,5193
turbokube-0147,5141
turbokube-0148,4992
turbokube-0149,5692
turbokube-014a,4990
turbokube-014b,5289
turbokube-014c,5532
turbokube-014d,5493
turbokube-014e,5392
turbokube-014f,5492
turbokube-0150,5741
turbokube-0151,5142
turbokube-0152,5341
turbokube-0153,4993
turbokube-0154,5352
turbokube-0155,5531
turbokube-0156,5190
turbokube-0157,5390
turbokube-0158,5394
turbokube-0159,5390
turbokube-015a,5342
turbokube-015b,4991
turbokube-015c,5193
turbokube-015d,5191
turbokube-015e,4984
turbokube-015f,5343
turbokube-0160,5741
turbokube-0161,5192
turbokube-0162,5189
turbokube-0163,5192
turbokube-0164,5392
turbokube-0165,5543
turbokube-0166,5140
turbokube-0167,4993
turbokube-0168,5191
turbokube-0169,5392
turbokube-016a,5441
turbokube-016b,5193
turbokube-016c,4991
turbokube-016d,4992
turbokube-016e,5541
turbokube-016f,5342
turbokube-0170,4991
turbokube-0171,5191
turbokube-0172,5690
turbokube-0173,5193
turbokube-0174,5141
turbokube-0175,5191
turbokube-0176,5690
turbokube-0177,5393
turbokube-0178,5140
turbokube-0179,4991
turbokube-017a,5341
turbokube-017b,4990
turbokube-017c,5592
turbokube-017d,5141
turbokube-017e,5493
turbokube-017f,5189
turbokube-0180,5340
turbokube-0181,5545
turbokube-0182,5188
turbokube-0183,4992
turbokube-0184,5142
turbokube-0185,4993
turbokube-0186,4993
turbokube-0187,5210
turbokube-0188,5375
turbokube-0189,5691
turbokube-018a,5338
turbokube-018b,5393
turbokube-018c,5191
turbokube-018d,5142
turbokube-018e,5343
turbokube-018f,5292
turbokube-0190,5341
turbokube-0191,5392
turbokube-0192,5339
turbokube-0193,5196
turbokube-0194,5537
turbokube-0195,4993
turbokube-0196,4992
turbokube-0197,5340
turbokube-0198,5292
turbokube-0199,5342
turbokube-019a,5391
turbokube-019b,5293
turbokube-019c,4991
turbokube-019d,5342
turbokube-019e,6040
turbokube-019f,4992
turbokube-01a0,4992
turbokube-01a1,4992
turbokube-01a2,5391
turbokube-01a3,5193
turbokube-01a4,5142
turbokube-01a5,5141
turbokube-01a6,5342
turbokube-01a7,4990
turbokube-01a8,5343
turbokube-01a9,5193
turbokube-01aa,4991
turbokube-01ab,5192
turbokube-01ac,5064
turbokube-01ad,5008
turbokube-01ae,4990
turbokube-01af,4991
turbokube-01b0,5540
turbokube-01b1,4992
turbokube-01b2,5392
turbokube-01b3,5194
turbokube-01b4,5139
turbokube-01b5,5191
turbokube-01b6,4991
turbokube-01b7,4990
turbokube-01b8,5591
turbokube-01b9,5841
turbokube-01ba,5342
turbokube-01bb,5193
turbokube-01bc,4990
turbokube-01bd,4993
turbokube-01be,5194
turbokube-01bf,5137
turbokube-01c0,4993
turbokube-01c1,4990
turbokube-01c2,5392
turbokube-01c3,5342
turbokube-01c4,5391
turbokube-01c5,5293
turbokube-01c6,5396
turbokube-01c7,5537
turbokube-01c8,4993
turbokube-01c9,4988
turbokube-01ca,4994
turbokube-01cb,4991
turbokube-01cc,5541
turbokube-01cd,5143
turbokube-01ce,4992
turbokube-01cf,4990
turbokube-01d0,5191
turbokube-01d1,5190
turbokube-01d2,5191
turbokube-01d3,5393
turbokube-01d4,5193
turbokube-01d5,5541
turbokube-01d6,4993
turbokube-01d7,5389
turbokube-01d8,5142
