sequence,time (ms)
turbokube-0001,14321
turbokube-0002,19045
turbokube-0003,14515
turbokube-0004,15524
turbokube-0005,15284
turbokube-0006,15886
turbokube-0007,15282
turbokube-0008,15536
turbokube-0009,15536
turbokube-000a,15281
turbokube-000b,15887
turbokube-000c,15289
turbokube-000d,15547
turbokube-000e,15534
turbokube-000f,15232
turbokube-0010,15885
turbokube-0011,15267
turbokube-0012,15535
turbokube-0013,15539
turbokube-0014,15281
turbokube-0015,15885
turbokube-0016,15284
turbokube-0017,15536
turbokube-0018,15537
turbokube-0019,15284
turbokube-001a,15883
turbokube-001b,15285
turbokube-001c,15528
turbokube-001d,15533
turbokube-001e,15286
turbokube-001f,15886
turbokube-0020,15288
turbokube-0021,15536
turbokube-0022,15519
turbokube-0023,15305
turbokube-0024,15883
turbokube-0025,15249
turbokube-0026,15538
turbokube-0027,15538
turbokube-0028,15281
turbokube-0029,15880
turbokube-002a,15282
turbokube-002b,15534
turbokube-002c,15540
turbokube-002d,15283
turbokube-002e,15878
turbokube-002f,15281
turbokube-0030,15539
turbokube-0031,15509
turbokube-0032,15279
turbokube-0033,15884
turbokube-0034,15287
turbokube-0035,15537
turbokube-0036,15533
turbokube-0037,15284
turbokube-0038,15895
turbokube-0039,15283
turbokube-003a,15529
turbokube-003b,15536
turbokube-003c,15282
turbokube-003d,15887
turbokube-003e,15265
turbokube-003f,15545
turbokube-0040,15533
turbokube-0041,15271
turbokube-0042,15888
turbokube-0043,15282
turbokube-0044,15531
turbokube-0045,15537
turbokube-0046,15276
turbokube-0047,15883
turbokube-0048,15280
turbokube-0049,15533
turbokube-004a,15537
turbokube-004b,15283
turbokube-004c,15881
turbokube-004d,15278
turbokube-004e,15523
turbokube-004f,15500
turbokube-0050,15286
turbokube-0051,15881
turbokube-0052,15279
turbokube-0053,15522
turbokube-0054,15533
turbokube-0055,15284
turbokube-0056,15879
turbokube-0057,15278
turbokube-0058,15536
turbokube-0059,15530
turbokube-005a,15281
turbokube-005b,15866
turbokube-005c,15284
turbokube-005d,15536
turbokube-005e,15523
turbokube-005f,15275
turbokube-0060,15884
turbokube-0061,15289
turbokube-0062,15527
turbokube-0063,15522
turbokube-0064,15281
turbokube-0065,15931
turbokube-0066,15278
turbokube-0067,15483
turbokube-0068,15530
turbokube-0069,15289
turbokube-006a,15730
turbokube-006b,15532
turbokube-006c,15687
turbokube-006d,15283
turbokube-006e,15297
turbokube-006f,15731
turbokube-0070,15514
turbokube-0071,15679
turbokube-0072,15282
turbokube-0073,15284
turbokube-0074,15735
turbokube-0075,15529
turbokube-0076,15684
turbokube-0077,15280
turbokube-0078,15276
turbokube-0079,15730
turbokube-007a,15535
